usuario,puntos
demian762,2
lulumy27,-500
glottisgf,2
roque04_,26
theredfallen,29
wansaia82,9
kojixigarashi,6
leofazzaro,2
gonzaleitor7787,4
unitofwork,1
kuquialegre,2
valery_lotr,1
lacatuok,1
pataditaloca,1
locoloe,2
hezen22,1
stru_punch,1
javy7007,6
darctw,1
ferflores87,2
roosterbeard,1
jimeleo,4
kenmasters,1
redfallen,1
,1
benjaminconsorti,1
