usuario,puntos
roque04_,18
gonzaleitor7787,2
lulumy27,5
lucasnahuelaimar,2
wansaia82,6
ferflores87,5
demian762,2
pointandclickstore,4
everovius,3
jimeleo,3
ken_masters2,1
theredfallen,23
javy7007,4
gusbaldo,1
hablemosdepavadaspod,1
