usuario,puntos
roque04_,9
gonzaleitor7787,1
lulumy27,2
lucasnahuelaimar,2
wansaia82,3
ferflores87,2
demian762,1
pointandclickstore,4
everovius,2
jimeleo,2
ken_masters2,1
